age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,plus_50
39.0,5,77516.0,9,13.0,4,0,1,4,1,2174.0,0.0,40.0,38,0
50.0,4,83311.0,9,13.0,2,3,0,4,1,0.0,0.0,13.0,38,0
38.0,2,215646.0,11,9.0,0,5,1,4,1,0.0,0.0,40.0,38,0
53.0,2,234721.0,1,7.0,2,5,0,2,1,0.0,0.0,40.0,38,0
28.0,2,338409.0,9,13.0,2,9,5,2,0,0.0,0.0,40.0,4,0
37.0,2,284582.0,12,14.0,2,3,5,4,0,0.0,0.0,40.0,38,0
49.0,2,160187.0,6,5.0,3,7,1,2,0,0.0,0.0,16.0,22,0
52.0,4,209642.0,11,9.0,2,3,0,4,1,0.0,0.0,45.0,38,1
31.0,2,45781.0,12,14.0,4,9,1,4,0,14084.0,0.0,50.0,38,1
42.0,2,159449.0,9,13.0,2,3,0,4,1,5178.0,0.0,40.0,38,1
37.0,2,280464.0,15,10.0,2,3,0,2,1,0.0,0.0,80.0,38,1
30.0,5,141297.0,9,13.0,2,9,0,1,1,0.0,0.0,40.0,18,1
23.0,2,122272.0,9,13.0,4,0,3,4,0,0.0,0.0,30.0,38,0
32.0,2,205019.0,7,12.0,4,11,1,2,1,0.0,0.0,50.0,38,0
34.0,2,245487.0,5,4.0,2,13,0,0,1,0.0,0.0,45.0,25,0
25.0,4,176756.0,11,9.0,4,4,3,4,1,0.0,0.0,35.0,38,0
32.0,2,186824.0,11,9.0,4,6,4,4,1,0.0,0.0,40.0,38,0
38.0,2,28887.0,1,7.0,2,11,0,4,1,0.0,0.0,50.0,38,0
43.0,4,292175.0,12,14.0,0,3,4,4,0,0.0,0.0,45.0,38,1
40.0,2,193524.0,10,16.0,2,9,0,4,1,0.0,0.0,60.0,38,1
54.0,2,302146.0,11,9.0,5,7,4,2,0,0.0,0.0,20.0,38,0
35.0,0,76845.0,6,5.0,2,4,0,2,1,0.0,0.0,40.0,38,0
43.0,2,117037.0,1,7.0,2,13,0,4,1,0.0,2042.0,40.0,38,0
59.0,2,109015.0,11,9.0,0,12,4,4,0,0.0,0.0,40.0,38,0
56.0,1,216851.0,9,13.0,2,12,0,4,1,0.0,0.0,40.0,38,1
19.0,2,168294.0,11,9.0,4,2,3,4,1,0.0,0.0,40.0,38,0
39.0,2,367260.0,11,9.0,0,3,1,4,1,0.0,0.0,80.0,38,0
49.0,2,193366.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0
23.0,1,190709.0,7,12.0,4,10,1,4,1,0.0,0.0,52.0,38,0
20.0,2,266015.0,15,10.0,4,11,3,2,1,0.0,0.0,44.0,38,0
45.0,2,386940.0,9,13.0,0,3,3,4,1,0.0,1408.0,40.0,38,0
30.0,0,59951.0,15,10.0,2,0,3,4,1,0.0,0.0,40.0,38,0
22.0,5,311512.0,15,10.0,2,7,0,2,1,0.0,0.0,15.0,38,0
48.0,2,242406.0,1,7.0,4,6,4,4,1,0.0,0.0,40.0,32,0
21.0,2,197200.0,15,10.0,4,6,3,4,1,0.0,0.0,40.0,38,0
19.0,2,544091.0,11,9.0,1,0,5,4,0,0.0,0.0,25.0,38,0
48.0,4,265477.0,7,12.0,2,9,0,4,1,0.0,0.0,40.0,38,0
31.0,2,507875.0,6,5.0,2,6,0,4,1,0.0,0.0,43.0,38,0
53.0,4,88506.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,0
24.0,2,172987.0,9,13.0,2,12,0,4,1,0.0,0.0,50.0,38,0
49.0,2,94638.0,11,9.0,5,0,4,4,0,0.0,0.0,40.0,38,0
25.0,2,289980.0,11,9.0,4,5,1,4,1,0.0,0.0,35.0,38,0
57.0,0,337895.0,9,13.0,2,9,0,2,1,0.0,0.0,40.0,38,1
53.0,2,144361.0,11,9.0,2,6,0,4,1,0.0,0.0,38.0,38,0
44.0,2,128354.0,12,14.0,0,3,4,4,0,0.0,0.0,40.0,38,0
41.0,5,101603.0,8,11.0,2,2,0,4,1,0.0,0.0,40.0,38,0
29.0,2,271466.0,8,11.0,4,9,1,4,1,0.0,0.0,43.0,38,0
25.0,2,32275.0,15,10.0,2,3,5,3,0,0.0,0.0,40.0,38,0
47.0,2,51835.0,14,15.0,2,9,5,4,0,0.0,1902.0,60.0,15,1
50.0,0,251585.0,9,13.0,0,3,1,4,1,0.0,0.0,55.0,38,1
47.0,3,109832.0,11,9.0,0,3,1,4,1,0.0,0.0,60.0,38,0
43.0,2,237993.0,15,10.0,2,12,0,4,1,0.0,0.0,40.0,38,1
46.0,2,216666.0,4,3.0,2,6,0,4,1,0.0,0.0,40.0,25,0
35.0,2,56352.0,8,11.0,2,7,0,4,1,0.0,0.0,40.0,32,0
41.0,2,147372.0,11,9.0,2,0,0,4,1,0.0,0.0,48.0,38,0
30.0,2,188146.0,11,9.0,2,6,0,4,1,5013.0,0.0,40.0,38,0
30.0,2,59496.0,9,13.0,2,11,0,4,1,2407.0,0.0,40.0,38,0
48.0,2,149640.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,0
42.0,2,116632.0,10,16.0,2,9,0,4,1,0.0,0.0,45.0,38,1
29.0,2,105598.0,15,10.0,0,12,1,4,1,0.0,0.0,58.0,38,0
36.0,2,155537.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0
28.0,2,183175.0,15,10.0,0,0,1,4,0,0.0,0.0,40.0,38,0
53.0,2,169846.0,11,9.0,2,0,5,4,0,0.0,0.0,40.0,38,1
49.0,3,191681.0,15,10.0,2,3,0,4,1,0.0,0.0,50.0,38,1
19.0,2,101509.0,15,10.0,4,9,3,4,1,0.0,0.0,32.0,38,0
31.0,2,309974.0,9,13.0,5,11,3,2,0,0.0,0.0,40.0,38,0
29.0,4,162298.0,9,13.0,2,11,0,4,1,0.0,0.0,70.0,38,1
23.0,2,211678.0,15,10.0,4,6,1,4,1,0.0,0.0,40.0,38,0
79.0,2,124744.0,15,10.0,2,9,2,4,1,0.0,0.0,20.0,38,0
27.0,2,213921.0,11,9.0,4,7,3,4,1,0.0,0.0,40.0,25,0
40.0,2,32214.0,7,12.0,2,0,0,4,1,0.0,0.0,40.0,38,0
18.0,2,309634.0,1,7.0,4,7,3,4,0,0.0,0.0,22.0,38,0
31.0,1,125927.0,5,4.0,2,4,0,4,1,0.0,0.0,40.0,38,0
18.0,2,446839.0,11,9.0,4,11,1,4,1,0.0,0.0,30.0,38,0
52.0,2,276515.0,9,13.0,2,7,0,4,1,0.0,0.0,40.0,4,0
46.0,2,51618.0,11,9.0,2,7,5,4,0,0.0,0.0,40.0,38,0
59.0,2,159937.0,11,9.0,2,11,0,4,1,0.0,0.0,48.0,38,0
44.0,2,343591.0,11,9.0,0,2,1,4,0,14344.0,0.0,40.0,38,1
53.0,2,346253.0,11,9.0,0,11,3,4,0,0.0,0.0,35.0,38,0
49.0,1,268234.0,11,9.0,2,10,0,4,1,0.0,0.0,40.0,38,1
33.0,2,202051.0,12,14.0,2,9,0,4,1,0.0,0.0,50.0,38,0
30.0,2,54334.0,6,5.0,4,11,1,4,1,0.0,0.0,40.0,38,0
43.0,0,410867.0,10,16.0,4,9,1,4,0,0.0,0.0,50.0,38,1
57.0,2,249977.0,8,11.0,2,9,0,4,1,0.0,0.0,40.0,38,0
37.0,2,286730.0,15,10.0,0,2,4,4,0,0.0,0.0,40.0,38,0
28.0,2,212563.0,15,10.0,0,6,4,2,0,0.0,0.0,25.0,38,0
34.0,1,226296.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,38,1
29.0,1,115585.0,15,10.0,4,5,1,4,1,0.0,0.0,50.0,38,0
48.0,4,191277.0,10,16.0,2,9,0,4,1,0.0,1902.0,60.0,38,1
37.0,2,202683.0,15,10.0,2,11,0,4,1,0.0,0.0,48.0,38,1
48.0,2,171095.0,7,12.0,0,3,4,4,0,0.0,0.0,40.0,8,0
32.0,0,249409.0,11,9.0,4,7,3,2,1,0.0,0.0,40.0,38,0
76.0,2,124191.0,12,14.0,2,3,0,4,1,0.0,0.0,40.0,38,1
44.0,2,198282.0,9,13.0,2,3,0,4,1,15024.0,0.0,60.0,38,1
47.0,4,149116.0,12,14.0,4,9,1,4,0,0.0,0.0,50.0,38,0
20.0,2,188300.0,15,10.0,4,12,3,4,0,0.0,0.0,40.0,38,0
29.0,2,103432.0,11,9.0,4,2,1,4,1,0.0,0.0,40.0,38,0
32.0,3,317660.0,11,9.0,2,2,0,4,1,7688.0,0.0,40.0,38,1
