Cap-shape, Cap-surface, Cap-color, Bruises, Odor, Gill-attachment, Gill-spacing, Gill-size, Gill-color, Stalk-shape, Stalk-root, Stalk-surface-above-ring, Stalk-surface-below-ring, Stalk-color-above-ring, Stalk-color-below-ring, Veil-type, Veil-color,Ring-number,Ring-type,Spore-print-color,Population,Habitat,Class
4,1,4,1,1,1,0,0,3,0,1,2,1,4,6,0,2,1,3,2,2,2,0
7,1,4,2,7,2,1,0,10,0,3,4,2,7,8,0,4,1,6,2,4,2,0
3,1,2,1,3,1,0,0,2,0,1,2,1,6,7,0,2,0,2,3,3,1,1
5,2,2,2,5,1,1,0,9,0,2,4,2,6,7,0,3,1,5,2,3,0,1
3,2,1,1,3,1,0,0,0,0,0,2,1,5,7,0,2,0,1,4,3,1,0
3,1,2,1,4,1,1,0,7,0,2,3,1,8,8,0,3,1,4,1,3,1,0
4,3,7,1,2,1,1,0,0,1,0,2,1,4,7,1,2,1,2,6,4,3,1
2,2,2,1,3,1,0,0,2,1,0,3,1,6,8,0,3,0,3,4,3,3,0
5,4,2,2,7,2,1,0,8,0,1,5,3,10,13,0,5,1,6,6,6,4,0
4,2,2,2,5,1,0,0,3,0,0,3,1,7,8,0,3,1,2,4,2,0,0
3,2,2,1,4,1,0,1,2,0,0,2,1,6,7,0,2,0,1,4,2,1,0
3,2,4,1,1,1,0,0,6,0,2,2,2,6,7,0,2,1,5,2,3,4,0
5,2,7,1,0,1,0,0,3,0,1,2,1,3,6,0,2,1,3,3,2,4,1
3,4,2,2,9,1,0,1,1,1,1,3,2,10,14,1,4,1,2,9,5,3,0
3,1,5,1,1,1,0,0,3,0,1,2,0,4,5,0,2,0,2,1,1,0,0
4,3,0,1,4,1,0,0,2,0,0,3,1,5,7,0,3,1,2,5,3,2,0
2,1,4,1,1,1,0,0,4,0,1,2,1,4,5,0,1,1,3,1,2,3,1
3,1,4,2,5,1,1,0,8,0,2,3,2,7,8,0,3,1,4,1,2,0,1
2,1,4,1,3,1,0,0,4,1,2,2,1,8,9,0,2,0,3,1,2,1,0
3,1,3,2,5,1,1,0,10,0,3,3,2,8,9,0,3,1,5,1,3,1,0
4,2,0,2,5,1,1,0,9,0,2,4,2,7,8,0,3,1,6,3,4,3,0
3,2,3,1,2,0,0,0,0,0,0,2,1,4,6,1,2,0,1,4,3,2,1
2,1,5,1,0,1,0,0,4,0,1,1,1,3,5,0,1,1,3,1,2,3,1
5,1,4,1,2,1,0,0,5,0,1,3,1,3,4,0,2,1,3,1,2,0,1
2,0,5,1,2,1,0,0,6,0,2,2,1,6,7,0,2,0,3,0,2,0,0
4,2,4,1,1,1,0,0,1,0,0,2,1,4,6,0,2,1,2,4,3,2,0
6,3,2,2,6,1,1,0,4,0,1,4,2,7,9,0,3,1,3,5,3,1,0
4,0,7,2,4,1,0,0,7,0,3,3,1,8,8,1,3,0,4,1,2,1,0
5,2,5,1,1,1,0,0,3,0,1,2,1,4,5,0,2,1,2,2,1,1,0
3,1,6,1,3,1,0,0,5,1,2,3,1,9,9,0,3,0,2,1,1,0,0
4,3,5,0,1,1,0,0,1,1,0,2,1,4,6,1,2,1,2,4,3,3,1
4,2,3,2,6,1,0,0,12,0,3,4,3,8,10,0,4,1,7,3,4,3,0
3,1,2,1,2,0,0,0,4,0,1,2,1,3,4,0,2,0,3,1,2,0,0
